Plant name,Leaf shape,Margin,Surface texture,Leaf arrangement,Apex,Base,Leaf type,Venation,Petiole,Cross-section,Internal tissue,Orientation,Aroma,Color,Thickness,Size category
Aloe vera,Elliptical,Entire,Glossy,Basal,Acute,Tapered,Fleshy,Parallel,,Flattened,Gel-rich,Upright,Strong,Light green,Thick,Medium
Aloe vera,Lance-shaped,Entire,Smooth,Basal,Pointed,Wedge,Fleshy,Parallel,Absent,Triangular,Gel-filled,Upright,Strong,Green,Thick,Large
Aloe vera,Lanceolate,Entire,Smooth,Rosette,Acute,Broad,Succulent,Parallel,Absent,Triangular,Watery,Upright,Strong,Green,Thick,Large
Aloe vera,Linear,Entire,Waxy,Rosette,Acute,Broad,Succulent,Parallel,Absent,Triangular,Gel-rich,Upright,Distinct,Light green,Thick,Large
Aloe vera,Lance-shaped,Entire,Silky,Rosette,Pointed,Broad,Succulent,Parallel,,Flattened,Juicy,Ascending,Pungent,Green,Thick,Large
Aloe vera,Elliptical,Entire,Glossy,Spiral,Acute,Broad,Succulent,Parallel,Absent,Convex,Watery,Upright,Strong,Green,Thick,Large
Aloe vera,Lance-shaped,Entire,Smooth,Rosette,Acuminate,Broad,Fleshy,Parallel,,Flattened,Mucilaginous,Ascending,Strong,Green,Thick,Medium
Aloe vera,Lanceolate,Entire,Silky,Rosette,Acuminate,Broad,Fleshy,Parallel,Short,Convex,Gel-rich,Vertical,Pungent,Green,Thick,Medium
Aloe vera,Linear,Entire,Glossy,Basal,Sharp,Wedge,Succulent,Parallel,Absent,Triangular,Gel-filled,Erect,Medicinal,Green,Thick,Large
Aloe vera,Lance-shaped,Entire,Shiny,Spiral,Acuminate,Cuneate,Fleshy,Parallel,Short,Convex,Juicy,Upright,Medicinal,Bluish green,Thick,Medium
Aloe vera,Oblong,Entire,Waxy,Whorled,Sharp,Broad,Succulent,Parallel,Absent,Triangular,Mucilaginous,Vertical,Strong,Dark green,Thick,Large
Aloe vera,Oblong,Entire,Smooth,Whorled,Pointed,Cuneate,Succulent,Parallel,Short,Triangular,Gel-filled,Ascending,Distinct,Green,Thick,Large
Aloe vera,Oblong,Entire,Silky,Whorled,Acuminate,Tapered,Fleshy,Parallel,,Triangular,Juicy,Ascending,Distinct,Light green,Thick,Large
Aloe vera,Oblong,Entire,Silky,Whorled,Acute,Broad,Fleshy,Parallel,Short,Triangular,Juicy,Vertical,Pungent,Dark green,Thick,Large
Aloe vera,Elliptical,Entire,Silky,Basal,Acute,Tapered,Fleshy,Parallel,,Triangular,Gel-rich,Ascending,Pungent,Green,Thick,Large
Aloe vera,Linear,Entire,Silky,Basal,Sharp,Broad,Fleshy,Parallel,Absent,Flattened,Juicy,Upright,Strong,Bluish green,Fleshy,Large
Aloe vera,Linear,Entire,Smooth,Basal,Acuminate,Tapered,Succulent,Parallel,,Convex,Gel-filled,Ascending,Strong,Bluish green,Thick,Large
Aloe vera,Linear,Entire,Glossy,Rosette,Pointed,Wedge,Succulent,Parallel,,Flattened,Gel-filled,Erect,Distinct,Light green,Fleshy,Medium
Aloe vera,Lance-shaped,Entire,Glossy,Rosette,Acuminate,Tapered,Succulent,Parallel,Absent,Triangular,Watery,Vertical,Strong,Green,Fleshy,Large
Aloe vera,Linear,Entire,Waxy,Spiral,Acute,Broad,Fleshy,Parallel,Absent,Triangular,Gel-filled,Ascending,Strong,Dark green,Fleshy,Medium
Ambrette,Cordate,Sinuate,Rough,Alternate,Blunt,Heart-shaped,Simple,Reticulate,Moderate,Flat,Cellular,Upright,Mild,Light green,Thin,Large
Ambrette,Orbicular,Sinuate,Hairy,Alternate,Acute,Oblique,Simple,Net-veined,Present,Flat,Spongy,Erect,Fragrant,Moss green,Medium,Large
Ambrette,Orbicular,Crenate,Hairy,Alternate,Acute,Oblique,Simple,Reticulate,Present,Flat,Cellular,Ascending,Aromatic,Light green,Thin,Large
Ambrette,Heart-shaped,Sinuate,Pubescent,Alternate,Acute,Cordate,Simple,Reticulate,Long,Convex,Spongy,Spreading,Mild,Light green,Medium,Medium
Ambrette,Reniform,Wavy,Hairy,Alternate,Acute,Heart-shaped,Simple,Reticulate,Long,Flat,Cellular,Erect,Mild,Yellowish green,Thin,Medium
Ambrette,Ovate,Crenate,Rough,Spiral,Acuminate,Oblique,Simple,Reticulate,Long,Convex,Porous,Upright,Aromatic,Bright green,Thin,Large
Ambrette,Reniform,Wavy,Velvety,Alternate,Blunt,Cordate,Simple,Net-veined,Present,Flat,Fibrous,Erect,Aromatic,Moss green,Thin,Large
Ambrette,Heart-shaped,Serrated,Hairy,Basal,Acuminate,Cordate,Simple,Reticulate,Moderate,Convex,Porous,Erect,Sweet,Yellowish green,Medium,Large
Ambrette,Reniform,Sinuate,Hairy,Alternate,Blunt,Cordate,Simple,Reticulate,Present,Concave,Cellular,Ascending,Mild,Moss green,Medium,Medium
Ambrette,Orbicular,Sinuate,Rough,Spiral,Blunt,Truncate,Simple,Reticulate,Present,Concave,Porous,Upright,Sweet,Moss green,Thin,Large
Ambrette,Cordate,Wavy,Pubescent,Alternate,Pointed,Heart-shaped,Simple,Reticulate,Moderate,Flat,Fibrous,Spreading,Sweet,Light green,Thin,Medium
Ambrette,Heart-shaped,Wavy,Hairy,Spiral,Acute,Heart-shaped,Simple,Reticulate,Present,Flat,Cellular,Erect,Fragrant,Bright green,Thin,Medium
